# ./benchmagma.sh m02 2**9 2**10 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**9,2**10], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m02.dat')"
593 239 (2, 238) 3.75222698847
593 241 (3, 16) 9.74927759171
593 243 (20, 18) 742.742729902
593 251 (2, 25) 4.02791031202
599 5 (1, 2) 0.0145857334137
599 7 (4, 3) 0.0501778920492
599 9 (2, 6) 0.0435959498088
599 11 (6, 5) 0.190930366516
599 13 (1, 1) 0.0289495786031
599 17 (6, 4) 0.172028223674
599 19 (5, 18) 0.136903206507
599 23 (2, 1) 0.0811273256938
599 25 (4, 2) 0.126925627391
599 27 (2, 18) 3.41263739268
599 29 (1, 28) 0.0198980172475
599 31 (5, 15) 0.379340648651
599 37 (4, 9) 0.344023942947
599 41 (2, 10) 0.0777833461761
